id,text,label_1_M,label_2_F,label_3_M,label_4_M,label_5_F,label_6_M,label_7_F,label_8_M,label_9_F,label_10_F,label_11_M,label_12_M,label_13_F,label_14_M,label_15_M,label_16_F,label_17_M,label_18_F,label_19_F,label_20_F
172,[USER] [USER] you're reading you coon,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful
106,[USER] Yes you do retard.,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
94,[USER] [USER] [USER] [USER] omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
60,I just wanna slit this mf throat,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
97,Lol my brother a fag Mann,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful
191,[USER] [USER] send them damn beaners back where they belong n the US aint it,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful
33,[USER] ur not sassy white trash change ur username,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful
146,[USER] and the plastic surgery of a tranny.,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
15,Happppppy Birthdayyyy lol. Niggahs is really 21 in this bitch. [URL],Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful
36,"[USER] hell yea,I'm surrounded by hillbillys an real ass rednecks",Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
156,[USER] [USER] [USER] [USER] shut up nigger,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
23,[USER]: Been my main nigguh since digital camera selfies [USER] [URL],Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful
150,Still confused why King ordered two tranny hookers to the party last night..,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful
76,"[USER]: Life's a bitch, but that's the only love I know",Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful
71,[USER] shut up bitch for I spit on you,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
139,Stop whacking off in the shower queer boy! [USER],Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
81,"When did gum get so soft, you sons of bitches.",Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful
29,[USER] the favorite drink of white trash everywhere....,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful
101,[USER] 😂😂Alright fag what about this? [URL],Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful
21,[USER]: [USER] YESSS it's that one! Ooze! This nigguh! 😂😂 [URL],Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful
173,[USER] u really got these coons out here dreaming,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful
132,"[USER]: ""[USER]: hey dicklicker! it says im happily divorced not bitter! homophobic? im not scared of queers..i hate em! fudg…",Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
168,[USER] what's this chinks email? I'm moving to China and slicing his throat,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
197,LMFAO  [USER]: “shut up u slutty white hoe  [USER]: Didn’t know the Pats got DESTROYED tonight LMFAOOOO”,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful
53,"[USER] [USER]  Who is da ""we"" whitey?",Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful
43,"[USER] fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit",Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
70,[USER] you look like fucking shrek bitch,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
182,You drink light beer? Hahahahahahahahahahaha what a pussy!,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
83,[USER] [USER] [USER] [USER] [USER] [USER] ape? Fuck u broke ass racist,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful
124,Nigga a dyke  [USER]: ..  [USER]: Melo garbage ass just now hitting 20k,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful
40,redneck in the White House // Moccasin Creek 👍👌,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful
167,The chinks really hunting their food...  [USER]: Dog shot with arrow in N.O. East- [URL],Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful
113,"[USER] [USER] [USER] They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards",Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful
66,[USER] stfu trash,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
114,[USER]: [USER] California's biggest retards. Don't forget about HOLY who just released an amazing EP.,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful
35,#Iowa is full of white trash,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
158,[USER] i know im so kidding. Some of BET is funny. I love when blacks call eachother ignorant and niggers. Makes me not have to,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful
59,“[USER]: Killin in tekken 6 😎” lies you trash,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful
6,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful
195,my mom tried to get me to buy beaner boots bc they were on sale like I'm not in a mariachi band please stop.,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
115,Of course my #faith for #baseball is off this year. BECAUSE OF #BARRYBONDS you goddamn retards!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #morons,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
121,"[USER] i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week....",Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful
112,"[USER]: To the retards chanting USA at the FC Dallas game, Kansas is in the USA.",Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful
8,[USER]: everybody tryna fuck the next nigga bitch not knowin that his bitch is the next nigga bitch 🙊😶,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful
10,[USER]: When lil b said “Word around town that I aint got no bitches? what?! Thats a damn lie nigga my nuts is my witness” [URL],Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful
189,🐢 dirty whore. I love you. but you a hoe. but I love you. Jesus is watching.,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
107,"Rand went full retard some time ago “[USER]: [USER] isn't ""playing the game""... he's just retarded.  [URL]",Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
187,[USER] bitch shut the fuck up goddam your a slut bitch whore nigga,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
50,[USER] Hell na !! Hes a honky brah,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
162,Every spic cop in #LosAngeles is loyal to the #LatinKings,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful
7,“[USER]: 😂💩 [USER]: Lemme find out you niggaz letting bitches shit on yo faces” 😭 niggas is weirdos,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful
19,[USER] 😂😂😂 dat shit crazy a nicca use to wear dat shit fr,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
49,[USER] let a honky know man lol,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
17,cant stand when a nicca pillow talk about you to a bitch,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
193,Someone shut this beaner up please.,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful
186,[USER]: Well maybe you're a whore you stupid ugly homeless bitch,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
41,[USER] [USER] [USER] your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
136,[USER] bye youre a queer,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful
145,This bitch looks like a tranny tho.,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
34,Ain't nuttin but a white trash party.,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful
103,[USER]: Follow this fag [USER] it's his birthday today,Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful
2,"[USER]: One nigga from the past told me one thing I'd never forget ""one mans trash is another mans treasure""",Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
135,ahah fucking queer [USER] kill urself,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
105,[USER] [USER] lmao dude you are probably the biggest fag in nebraska 😂😂😂😂😂,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful
38,Cussed out by a fat redneck on the last day YOLO [USER] [USER] [USER] 😂😂,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful
